L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,53169,1,53169,
Count,4.8,1400,1,1400,
Count,5.5,1369,1,1369,
Count,9.4,1404,1,1404,
Count,12.4,1486,1,1486,
Count,14.7,1411,1,1411,
Count,21.7,1439,1,1439,
Count,22.7,1360,1,1360,
Count,24.9,1417,1,1417,
Count,29.6,1411,1,1411,
Count,39.3,1397,1,1397,
Count,39.7,1441,1,1441,
Count,43.6,1428,1,1428,
Count,43.7,1463,1,1463,
Count,43.8,2822,1,2822,
Count,43.9,1388,1,1388,
Count,44.1,1378,1,1378,
Count,44.2,5583,1,5583,
Count,44.3,2866,1,2866,
Count,44.4,1414,1,1414,
Count,44.5,1422,1,1422,
Count,44.6,1362,1,1362,
Count,44.7,1412,1,1412,
Count,44.8,2751,1,2751,
Count,44.9,1377,1,1377,
Count,45,2908,1,2908,
Count,45.1,2829,1,2829,
Count,45.3,2788,1,2788,
Count,45.4,1406,1,1406,
Count,45.5,2791,1,2791,
Count,45.6,2775,1,2775,
Count,45.7,1349,1,1349,
Count,45.8,2849,1,2849,
Count,45.9,1330,1,1330,
Count,46,2821,1,2821,
Count,46.1,1393,1,1393,
Count,46.2,1441,1,1441,
Count,46.3,1418,1,1418,
Count,46.4,1441,1,1441,
Count,46.5,1391,1,1391,
Count,46.6,1325,1,1325,
Count,46.7,1379,1,1379,
Count,46.8,5557,1,5557,
Count,46.9,7035,1,7035,
Count,47,12657,1,12657,
Count,47.2,1367,1,1367,
Count,47.3,1390,1,1390,
Count,47.4,1367,1,1367,
Count,47.6,1444,1,1444,
Count,47.7,1375,1,1375,
Count,47.8,1384,1,1384,
Count,47.9,1431,1,1431,
Count,48,1378,1,1378,
Count,48.1,1374,1,1374,
Count,48.2,1350,1,1350,
Count,48.3,1465,1,1465,
Count,48.4,1411,1,1411,
Count,48.5,1472,1,1472,
Count,48.6,2766,1,2766,
Count,48.7,1369,1,1369,
Count,48.8,8329,1,8329,
Count,48.9,2778,1,2778,
Count,49,4153,1,4153,
Count,49.1,1425,1,1425,
Count,49.2,2834,1,2834,
Count,49.4,2867,1,2867,
Count,49.5,2795,1,2795,
Count,49.7,5489,1,5489,
Count,49.8,2741,1,2741,
Count,49.9,5619,1,5619,
Count,50,4175,1,4175,
Count,50.1,4106,1,4106,
Count,50.2,2719,1,2719,
Count,50.3,5729,1,5729,
Count,50.4,5567,1,5567,
Count,50.5,2768,1,2768,
Count,50.6,5643,1,5643,
Count,50.7,5587,1,5587,
Count,50.8,8303,1,8303,
Count,50.9,2812,1,2812,
Count,51,1385,1,1385,
Count,51.1,1427,1,1427,
Count,51.2,2792,1,2792,
Count,51.3,1400,1,1400,
Count,51.4,2724,1,2724,
Count,51.5,1389,1,1389,
Count,51.6,1402,1,1402,
Count,51.7,1412,1,1412,
Count,51.8,4145,1,4145,
Count,51.9,1459,1,1459,
Count,52,1446,1,1446,
Count,52.3,1438,1,1438,
Count,52.5,1280,1,1280,
L1APhysics,-1,53169,1,40,
L1APhysics,4.8,1400,1,2,
L1APhysics,5.5,1369,1,3,
L1APhysics,9.4,1404,1,1,
L1APhysics,14.7,1411,1,6,
L1APhysics,21.7,1439,1,2,
L1APhysics,22.7,1360,1,1,
L1APhysics,24.9,1417,1,2,
L1APhysics,29.6,1411,1,3,
L1APhysics,39.3,1397,1,2,
L1APhysics,39.7,1441,1,1,
L1APhysics,43.6,1428,1,3,
L1APhysics,43.7,1463,1,4,
L1APhysics,43.8,2822,1,7,
L1APhysics,43.9,1388,1,2,
L1APhysics,44.1,1378,1,6,
L1APhysics,44.2,5583,1,16,
L1APhysics,44.3,2866,1,7,
L1APhysics,44.4,1414,1,4,
L1APhysics,44.5,1422,1,3,
L1APhysics,44.7,1412,1,6,
L1APhysics,44.8,2751,1,11,
L1APhysics,44.9,1377,1,3,
L1APhysics,45,2908,1,10,
L1APhysics,45.1,2829,1,7,
L1APhysics,45.3,2788,1,5,
L1APhysics,45.4,1406,1,5,
L1APhysics,45.5,2791,1,11,
L1APhysics,45.6,2775,1,10,
L1APhysics,45.7,1349,1,4,
L1APhysics,45.8,2849,1,10,
L1APhysics,45.9,1330,1,4,
L1APhysics,46,2821,1,3,
L1APhysics,46.1,1393,1,7,
L1APhysics,46.2,1441,1,3,
L1APhysics,46.3,1418,1,3,
L1APhysics,46.4,1441,1,8,
L1APhysics,46.5,1391,1,5,
L1APhysics,46.6,1325,1,3,
L1APhysics,46.7,1379,1,4,
