L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,60449,1,60449,
Count,3.4,1472,1,1472,
Count,4.7,1424,1,1424,
Count,15.7,1379,1,1379,
Count,20.5,1416,1,1416,
Count,21.7,1364,1,1364,
Count,26.8,1385,1,1385,
Count,30.3,1400,1,1400,
Count,35.8,1376,1,1376,
Count,36,1432,1,1432,
Count,36.3,1387,1,1387,
Count,37.7,1391,1,1391,
Count,39,1342,1,1342,
Count,40.6,1478,1,1478,
Count,40.8,1373,1,1373,
Count,41,6982,1,6982,
Count,41.1,4197,1,4197,
Count,41.2,4171,1,4171,
Count,41.3,9781,1,9781,
Count,41.4,8321,1,8321,
Count,41.5,2836,1,2836,
Count,41.6,6924,1,6924,
Count,41.7,2747,1,2747,
Count,41.8,2819,1,2819,
Count,41.9,6979,1,6979,
Count,42,1380,1,1380,
Count,42.1,7128,1,7128,
Count,42.2,1326,1,1326,
Count,42.3,1407,1,1407,
Count,42.4,1572,1,1572,
Count,42.5,4191,1,4191,
Count,42.6,6865,1,6865,
Count,42.7,4287,1,4287,
Count,42.8,2814,1,2814,
Count,42.9,2749,1,2749,
Count,43,7060,1,7060,
Count,43.1,5589,1,5589,
Count,43.2,4272,1,4272,
Count,43.3,6944,1,6944,
Count,43.4,2781,1,2781,
Count,43.5,2852,1,2852,
Count,43.6,1347,1,1347,
Count,43.7,10636,1,10636,
Count,43.8,13847,1,13847,
Count,43.9,2800,1,2800,
Count,44,4208,1,4208,
Count,44.1,4150,1,4150,
Count,44.2,4159,1,4159,
Count,44.3,2741,1,2741,
Count,44.4,4213,1,4213,
Count,44.5,4204,1,4204,
Count,44.6,8386,1,8386,
Count,44.7,7051,1,7051,
Count,44.8,5546,1,5546,
Count,44.9,4270,1,4270,
Count,45,4152,1,4152,
Count,45.1,5489,1,5489,
Count,45.2,8366,1,8366,
Count,45.3,8413,1,8413,
Count,45.4,8418,1,8418,
Count,45.5,6252,1,6252,
Count,45.6,8347,1,8347,
Count,45.7,9694,1,9694,
Count,45.8,12457,1,12457,
Count,45.9,8490,1,8490,
Count,46,5551,1,5551,
