L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,42133,1,42133,
Count,2.7,1209,1,1209,
Count,2.9,958,1,958,
Count,3.1,2340,1,2340,
Count,4.8,1180,1,1180,
Count,5.4,1304,1,1304,
Count,10.3,1024,1,1024,
Count,14.7,1213,1,1213,
Count,17.3,1430,1,1430,
Count,17.4,1467,1,1467,
Count,18,1239,1,1239,
Count,20.4,1471,1,1471,
Count,20.7,1443,1,1443,
Count,28.5,1352,1,1352,
Count,28.8,4152,1,4152,
Count,29,1325,1,1325,
Count,29.4,1407,1,1407,
Count,30.7,1393,1,1393,
Count,34.1,8429,1,8429,
Count,34.2,6970,1,6970,
Count,34.3,8471,1,8471,
Count,34.4,2500,1,2500,
Count,34.6,8185,1,8185,
Count,34.7,8487,1,8487,
Count,34.8,5592,1,5592,
Count,34.9,11126,1,11126,
Count,35,8406,1,8406,
Count,35.1,7008,1,7008,
Count,35.2,8539,1,8539,
Count,35.3,8242,1,8242,
Count,35.4,8547,1,8547,
Count,35.5,4155,1,4155,
Count,35.6,9741,1,9741,
Count,35.7,8380,1,8380,
Count,35.8,8405,1,8405,
Count,35.9,5601,1,5601,
Count,36,11137,1,11137,
Count,36.1,9802,1,9802,
Count,36.2,9832,1,9832,
Count,36.3,2887,1,2887,
Count,36.4,9794,1,9794,
Count,36.5,9789,1,9789,
Count,36.6,6880,1,6880,
Count,36.7,8365,1,8365,
Count,36.8,5615,1,5615,
Count,36.9,4254,1,4254,
Count,37,11297,1,11297,
Count,37.2,6969,1,6969,
Count,37.3,5668,1,5668,
Count,37.4,8247,1,8247,
Count,37.5,4279,1,4279,
Count,37.6,7003,1,7003,
Count,37.7,7000,1,7000,
Count,37.8,8358,1,8358,
Count,37.9,5549,1,5549,
Count,38,8349,1,8349,
Count,38.1,5711,1,5711,
Count,38.2,5630,1,5630,
Count,38.3,8319,1,8319,
Count,38.4,5549,1,5549,
Count,38.5,5629,1,5629,
Count,38.6,7038,1,7038,
Count,38.7,8325,1,8325,
Count,38.8,7130,1,7130,
Count,38.9,5500,1,5500,
Count,39,6984,1,6984,
Count,39.1,2870,1,2870,
Count,39.2,9796,1,9796,
Count,39.3,5591,1,5591,
Count,39.4,7068,1,7068,
Count,39.5,5475,1,5475,
Count,39.6,5530,1,5530,
Count,39.7,8414,1,8414,
Count,39.8,8421,1,8421,
Count,39.9,11164,1,11164,
Count,40,8369,1,8369,
Count,40.1,8360,1,8360,
Count,40.2,5635,1,5635,
Count,40.3,4129,1,4129,
Count,40.4,5173,1,5173,
Count,40.5,11305,1,11305,
Count,40.6,15622,1,15622,
Count,40.7,19689,1,19689,
Count,40.8,11133,1,11133,
Count,40.9,9758,1,9758,
Count,41,8419,1,8419,
Count,41.1,9855,1,9855,
Count,41.2,8440,1,8440,
Count,41.3,8331,1,8331,
Count,41.4,12084,1,12084,
Count,41.5,5582,1,5582,
Count,41.6,6952,1,6952,
Count,41.7,10744,1,10744,
Count,41.8,5625,1,5625,
Count,41.9,12479,1,12479,
Count,42,6892,1,6892,
Count,42.1,10651,1,10651,
Count,42.2,11832,1,11832,
Count,42.3,7187,1,7187,
Count,42.4,8321,1,8321,
Count,42.5,9833,1,9833,
Count,42.6,8332,1,8332,
Count,42.7,6949,1,6949,
Count,42.8,6981,1,6981,
Count,42.9,9628,1,9628,
Count,43,11068,1,11068,
Count,43.1,7859,1,7859,
Count,43.2,2823,1,2823,
Count,43.3,6980,1,6980,
Count,43.4,12646,1,12646,
Count,43.5,2755,1,2755,
Count,43.6,1400,1,1400,
Count,43.7,5567,1,5567,
Count,43.8,4211,1,4211,
Count,43.9,5479,1,5479,
Count,44,5529,1,5529,
Count,44.1,5518,1,5518,
Count,44.2,1429,1,1429,
Count,44.3,2863,1,2863,
Count,44.4,1366,1,1366,
Count,44.5,5606,1,5606,
Count,44.6,4152,1,4152,
Count,44.7,4298,1,4298,
Count,44.8,4187,1,4187,
Count,44.9,1406,1,1406,
Count,45,4192,1,4192,
Count,45.1,1402,1,1402,
Count,45.2,4088,1,4088,
Count,45.3,1378,1,1378,
Count,45.4,5457,1,5457,
Count,45.5,1434,1,1434,
Count,45.7,8431,1,8431,
Count,45.8,4189,1,4189,
Count,45.9,4115,1,4115,
Count,46,2825,1,2825,
Count,46.1,4103,1,4103,
Count,46.2,2756,1,2756,
Count,46.4,5600,1,5600,
Count,46.5,2751,1,2751,
Count,46.6,4202,1,4202,
Count,46.7,1428,1,1428,
Count,46.8,1366,1,1366,
Count,46.9,4204,1,4204,
Count,47,2814,1,2814,
Count,47.1,5693,1,5693,
Count,47.2,6975,1,6975,
Count,47.3,6800,1,6800,
Count,47.4,2790,1,2790,
Count,47.5,5481,1,5481,
Count,47.6,4317,1,4317,
Count,47.7,2768,1,2768,
Count,47.8,2838,1,2838,
Count,47.9,1348,1,1348,
Count,48,4232,1,4232,
Count,48.1,4135,1,4135,
Count,48.2,5605,1,5605,
Count,48.3,9762,1,9762,
Count,48.4,6921,1,6921,
Count,48.5,2692,1,2692,
Count,48.6,2710,1,2710,
Count,48.7,2820,1,2820,
Count,48.8,2717,1,2717,
Count,48.9,2805,1,2805,
Count,49,1427,1,1427,
Count,49.1,1366,1,1366,
Count,49.2,2834,1,2834,
Count,49.4,4151,1,4151,
Count,49.5,1413,1,1413,
Count,49.6,2774,1,2774,
Count,49.7,2910,1,2910,
Count,49.8,2741,1,2741,
Count,49.9,2258,1,2258,
Count,50,2791,1,2791,
Count,50.1,1368,1,1368,
Count,50.2,1322,1,1322,
Count,50.3,2706,1,2706,
Count,50.4,2751,1,2751,
Count,50.5,2795,1,2795,
Count,50.6,4170,1,4170,
Count,50.7,6934,1,6934,
Count,50.8,1381,1,1381,
Count,50.9,6940,1,6940,
Count,51,2854,1,2854,
Count,51.2,2828,1,2828,
Count,51.3,1323,1,1323,
Count,51.4,1384,1,1384,
Count,51.5,1379,1,1379,
Count,51.8,1080,1,1080,
Count,52.2,1263,1,1263,
Count,52.3,2784,1,2784,
Count,52.4,1389,1,1389,
Count,52.5,1387,1,1387,
Count,52.6,2824,1,2824,
Count,52.7,2756,1,2756,
Count,52.8,1415,1,1415,
L1APhysics,-1,42133,1,73,
L1APhysics,2.7,1209,1,1,
L1APhysics,2.9,958,1,1,
L1APhysics,4.8,1180,1,3,
L1APhysics,5.4,1304,1,1,
L1APhysics,14.7,1213,1,1,
L1APhysics,17.3,1430,1,5,
L1APhysics,17.4,1467,1,2,
L1APhysics,18,1239,1,1,
L1APhysics,20.4,1471,1,3,
L1APhysics,20.7,1443,1,2,
L1APhysics,28.5,1352,1,2,
L1APhysics,28.8,4152,1,5,
L1APhysics,29,1325,1,5,
L1APhysics,29.4,1407,1,3,
L1APhysics,30.7,1393,1,2,
L1APhysics,34.1,8429,1,18,
L1APhysics,34.2,6970,1,17,
L1APhysics,34.3,8471,1,18,
L1APhysics,34.4,2500,1,5,
L1APhysics,34.6,8185,1,16,
L1APhysics,34.7,8487,1,15,
L1APhysics,34.8,5592,1,15,
L1APhysics,34.9,11126,1,28,
L1APhysics,35,8406,1,22,
L1APhysics,35.1,7008,1,12,
L1APhysics,35.2,8539,1,20,
L1APhysics,35.3,8242,1,16,
L1APhysics,35.4,8547,1,20,
L1APhysics,35.5,4155,1,8,
L1APhysics,35.6,9741,1,15,
L1APhysics,35.7,8380,1,14,
L1APhysics,35.8,8405,1,22,
L1APhysics,35.9,5601,1,14,
L1APhysics,36,11137,1,28,
L1APhysics,36.1,9802,1,21,
L1APhysics,36.2,9832,1,29,
L1APhysics,36.3,2887,1,4,
L1APhysics,36.4,9794,1,25,
L1APhysics,36.5,9789,1,21,
L1APhysics,36.6,6880,1,14,
L1APhysics,36.7,8365,1,26,
L1APhysics,36.8,5615,1,10,
L1APhysics,36.9,4254,1,8,
L1APhysics,37,11297,1,33,
L1APhysics,37.2,6969,1,17,
L1APhysics,37.3,5668,1,11,
L1APhysics,37.4,8247,1,21,
L1APhysics,37.5,4279,1,3,
L1APhysics,37.6,7003,1,18,
L1APhysics,37.7,7000,1,17,
L1APhysics,37.8,8358,1,18,
L1APhysics,37.9,5549,1,10,
L1APhysics,38,8349,1,23,
L1APhysics,38.1,5711,1,10,
L1APhysics,38.2,5630,1,14,
L1APhysics,38.3,8319,1,20,
L1APhysics,38.4,5549,1,15,
L1APhysics,38.5,5629,1,13,
L1APhysics,38.6,7038,1,12,
L1APhysics,38.7,8325,1,22,
L1APhysics,38.8,7130,1,18,
L1APhysics,38.9,5500,1,15,
L1APhysics,39,6984,1,16,
L1APhysics,39.1,2870,1,5,
L1APhysics,39.2,9796,1,35,
L1APhysics,39.3,5591,1,19,
L1APhysics,39.4,7068,1,24,
L1APhysics,39.5,5475,1,13,
L1APhysics,39.6,5530,1,14,
L1APhysics,39.7,8414,1,16,
L1APhysics,39.8,8421,1,32,
L1APhysics,39.9,11164,1,19,
L1APhysics,40,8369,1,20,
L1APhysics,40.1,8360,1,17,
L1APhysics,40.2,5635,1,17,
L1APhysics,40.3,4129,1,5,
L1APhysics,40.4,5173,1,11,
L1APhysics,40.5,11305,1,20,
L1APhysics,40.6,15622,1,34,
L1APhysics,40.7,19689,1,43,
L1APhysics,40.8,11133,1,26,
L1APhysics,40.9,9758,1,25,
L1APhysics,41,8419,1,24,
L1APhysics,41.1,9855,1,27,
L1APhysics,41.2,8440,1,31,
L1APhysics,41.3,8331,1,18,
L1APhysics,41.4,12084,1,29,
L1APhysics,41.5,5582,1,13,
L1APhysics,41.6,6952,1,20,
L1APhysics,41.7,10744,1,28,
L1APhysics,41.8,5625,1,15,
L1APhysics,41.9,12479,1,34,
L1APhysics,42,6892,1,20,
L1APhysics,42.1,10651,1,32,
L1APhysics,42.2,11832,1,32,
L1APhysics,42.3,7187,1,20,
L1APhysics,42.4,8321,1,29,
L1APhysics,42.5,9833,1,32,
L1APhysics,42.6,8332,1,19,
L1APhysics,42.7,6949,1,20,
L1APhysics,42.8,6981,1,21,
L1APhysics,42.9,9628,1,35,
L1APhysics,43,11068,1,32,
L1APhysics,43.1,7859,1,16,
L1APhysics,43.2,2823,1,5,
L1APhysics,43.3,6980,1,33,
L1APhysics,43.4,12646,1,26,
L1APhysics,43.5,2755,1,8,
L1APhysics,43.6,1400,1,3,
L1APhysics,43.7,5567,1,12,
L1APhysics,43.8,4211,1,20,
L1APhysics,43.9,5479,1,13,
L1APhysics,44,5529,1,15,
L1APhysics,44.1,5518,1,24,
L1APhysics,44.2,1429,1,5,
L1APhysics,44.3,2863,1,8,
L1APhysics,44.4,1366,1,5,
L1APhysics,44.5,5606,1,12,
L1APhysics,44.6,4152,1,9,
L1APhysics,44.7,4298,1,9,
L1APhysics,44.8,4187,1,6,
L1APhysics,44.9,1406,1,5,
L1APhysics,45,4192,1,16,
