L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,65769,1,65769,
Count,3.1,1479,1,1479,
Count,5.8,1444,1,1444,
Count,8.7,1435,1,1435,
Count,14.9,1394,1,1394,
Count,16.8,1407,1,1407,
Count,20,1421,1,1421,
Count,28.3,1426,1,1426,
Count,29.4,1397,1,1397,
Count,37.6,1360,1,1360,
Count,43.7,1382,1,1382,
Count,44.5,1340,1,1340,
Count,46.1,1373,1,1373,
Count,47.7,1403,1,1403,
Count,47.8,1394,1,1394,
Count,47.9,2838,1,2838,
Count,48,1405,1,1405,
Count,48.2,1343,1,1343,
Count,48.5,1411,1,1411,
Count,48.6,2841,1,2841,
Count,48.7,1350,1,1350,
Count,48.8,1421,1,1421,
Count,48.9,5614,1,5614,
Count,49.1,1443,1,1443,
Count,49.2,2832,1,2832,
Count,49.3,1396,1,1396,
Count,49.4,1484,1,1484,
Count,49.5,4163,1,4163,
Count,49.6,1409,1,1409,
Count,49.7,1390,1,1390,
Count,49.8,1348,1,1348,
Count,49.9,2772,1,2772,
Count,50.4,1421,1,1421,
Count,50.7,4159,1,4159,
L1APhysics,-1,65769,1,50,
L1APhysics,14.9,1394,1,2,
L1APhysics,16.8,1407,1,3,
L1APhysics,28.3,1426,1,1,
L1APhysics,29.4,1397,1,4,
L1APhysics,37.6,1360,1,4,
L1APhysics,43.7,1382,1,5,
L1APhysics,44.5,1340,1,4,
L1APhysics,46.1,1373,1,4,
L1APhysics,47.7,1403,1,5,
L1APhysics,47.8,1394,1,4,
L1APhysics,47.9,2838,1,11,
L1APhysics,48,1405,1,9,
L1APhysics,48.2,1343,1,4,
L1APhysics,48.6,2841,1,6,
L1APhysics,48.7,1350,1,3,
L1APhysics,48.8,1421,1,7,
L1APhysics,48.9,5614,1,15,
L1APhysics,49.1,1443,1,3,
L1APhysics,49.2,2832,1,8,
L1APhysics,49.3,1396,1,5,
L1APhysics,49.4,1484,1,5,
L1APhysics,49.5,4163,1,13,
L1APhysics,49.6,1409,1,7,
L1APhysics,49.7,1390,1,6,
L1APhysics,49.8,1348,1,3,
L1APhysics,49.9,2772,1,1,
L1APhysics,50.4,1421,1,3,
L1APhysics,50.7,4159,1,13,
L1_AlwaysTrue,-1,65769,0,0,
L1_AlwaysTrue,3.1,1479,0,0,
L1_AlwaysTrue,5.8,1444,0,0,
L1_AlwaysTrue,8.7,1435,0,0,
L1_AlwaysTrue,14.9,1394,0,0,
L1_AlwaysTrue,16.8,1407,0,0,
L1_AlwaysTrue,20,1421,0,0,
L1_AlwaysTrue,28.3,1426,0,0,
L1_AlwaysTrue,29.4,1397,0,0,
L1_AlwaysTrue,37.6,1360,0,0,
L1_AlwaysTrue,43.7,1382,0,0,
L1_AlwaysTrue,44.5,1340,0,0,
L1_AlwaysTrue,46.1,1373,0,0,
L1_AlwaysTrue,47.7,1403,0,0,
L1_AlwaysTrue,47.8,1394,0,0,
L1_AlwaysTrue,47.9,2838,0,0,
L1_AlwaysTrue,48,1405,0,0,
L1_AlwaysTrue,48.2,1343,0,0,
L1_AlwaysTrue,48.5,1411,0,0,
L1_AlwaysTrue,48.6,2841,0,0,
L1_AlwaysTrue,48.7,1350,0,0,
L1_AlwaysTrue,48.8,1421,0,0,
L1_AlwaysTrue,48.9,5614,0,0,
L1_AlwaysTrue,49.1,1443,0,0,
L1_AlwaysTrue,49.2,2832,0,0,
L1_AlwaysTrue,49.3,1396,0,0,
L1_AlwaysTrue,49.4,1484,0,0,
L1_AlwaysTrue,49.5,4163,0,0,
L1_AlwaysTrue,49.6,1409,0,0,
L1_AlwaysTrue,49.7,1390,0,0,
L1_AlwaysTrue,49.8,1348,0,0,
L1_AlwaysTrue,49.9,2772,0,0,
L1_AlwaysTrue,50.4,1421,0,0,
L1_AlwaysTrue,50.7,4159,0,0,
L1_BPTX_AND_Ref1_VME,-1,65769,0,0,
L1_BPTX_AND_Ref1_VME,3.1,1479,0,0,
L1_BPTX_AND_Ref1_VME,5.8,1444,0,0,
L1_BPTX_AND_Ref1_VME,8.7,1435,0,0,
L1_BPTX_AND_Ref1_VME,14.9,1394,0,0,
L1_BPTX_AND_Ref1_VME,16.8,1407,0,0,
L1_BPTX_AND_Ref1_VME,20,1421,0,0,
L1_BPTX_AND_Ref1_VME,28.3,1426,0,0,
L1_BPTX_AND_Ref1_VME,29.4,1397,0,0,
L1_BPTX_AND_Ref1_VME,37.6,1360,0,0,
L1_BPTX_AND_Ref1_VME,43.7,1382,0,0,
L1_BPTX_AND_Ref1_VME,44.5,1340,0,0,
L1_BPTX_AND_Ref1_VME,46.1,1373,0,0,
L1_BPTX_AND_Ref1_VME,47.7,1403,0,0,
L1_BPTX_AND_Ref1_VME,47.8,1394,0,0,
L1_BPTX_AND_Ref1_VME,47.9,2838,0,0,
L1_BPTX_AND_Ref1_VME,48,1405,0,0,
L1_BPTX_AND_Ref1_VME,48.2,1343,0,0,
L1_BPTX_AND_Ref1_VME,48.5,1411,0,0,
