L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,23436,1,23436,
Count,5,1396,1,1396,
Count,5.1,1421,1,1421,
Count,9.5,1445,1,1445,
Count,12.5,1450,1,1450,
Count,17.9,1386,1,1386,
Count,21,1408,1,1408,
Count,25.3,1407,1,1407,
Count,25.6,1382,1,1382,
Count,26.7,1385,1,1385,
Count,27.3,1416,1,1416,
Count,27.4,1413,1,1413,
Count,27.5,5553,1,5553,
Count,27.6,9832,1,9832,
Count,27.7,12608,1,12608,
Count,27.8,8366,1,8366,
Count,27.9,7039,1,7039,
Count,28,8310,1,8310,
Count,28.1,11243,1,11243,
Count,28.2,4501,1,4501,
Count,28.3,5648,1,5648,
Count,28.4,9823,1,9823,
Count,28.5,14070,1,14070,
Count,28.6,11197,1,11197,
Count,28.7,2832,1,2832,
Count,29.1,8397,1,8397,
Count,29.2,12638,1,12638,
Count,29.3,16858,1,16858,
Count,29.4,5639,1,5639,
Count,29.5,8314,1,8314,
Count,29.6,6977,1,6977,
Count,29.7,8514,1,8514,
Count,29.8,7117,1,7117,
Count,29.9,5535,1,5535,
Count,30,11245,1,11245,
Count,30.1,19061,1,19061,
Count,30.2,12657,1,12657,
Count,30.3,4084,1,4084,
Count,30.4,5654,1,5654,
Count,30.5,7048,1,7048,
Count,30.8,9326,1,9326,
Count,30.9,8518,1,8518,
Count,31,11169,1,11169,
Count,31.1,8424,1,8424,
Count,31.2,8409,1,8409,
Count,31.3,6968,1,6968,
Count,31.4,9753,1,9753,
Count,31.5,9852,1,9852,
Count,31.7,8368,1,8368,
Count,31.8,14088,1,14088,
Count,31.9,9699,1,9699,
Count,32,8408,1,8408,
Count,32.1,4124,1,4124,
Count,32.2,8358,1,8358,
Count,32.3,5672,1,5672,
Count,32.4,8455,1,8455,
Count,32.5,7075,1,7075,
Count,32.6,5561,1,5561,
Count,32.7,5862,1,5862,
Count,32.8,8349,1,8349,
Count,32.9,5470,1,5470,
Count,33,7085,1,7085,
Count,33.1,4168,1,4168,
Count,33.2,8329,1,8329,
Count,33.3,5750,1,5750,
Count,33.4,9853,1,9853,
Count,33.5,5013,1,5013,
Count,33.6,6935,1,6935,
Count,33.7,11176,1,11176,
Count,33.8,8437,1,8437,
Count,33.9,8372,1,8372,
Count,34,5628,1,5628,
Count,34.1,2818,1,2818,
Count,34.2,7025,1,7025,
Count,34.3,7042,1,7042,
Count,34.4,8355,1,8355,
Count,34.5,12454,1,12454,
Count,34.6,12686,1,12686,
Count,34.7,9759,1,9759,
Count,34.8,4346,1,4346,
Count,34.9,4131,1,4131,
Count,35,5649,1,5649,
Count,35.1,7013,1,7013,
Count,35.2,6893,1,6893,
Count,35.3,16966,1,16966,
Count,35.4,9720,1,9720,
Count,35.5,18090,1,18090,
Count,35.6,19520,1,19520,
Count,35.7,15495,1,15495,
Count,35.8,8397,1,8397,
Count,35.9,5670,1,5670,
Count,36,8436,1,8436,
Count,36.1,5520,1,5520,
Count,36.2,15499,1,15499,
Count,36.3,2788,1,2788,
Count,36.4,2736,1,2736,
Count,36.5,5565,1,5565,
Count,36.6,6984,1,6984,
Count,36.7,4105,1,4105,
Count,36.8,4216,1,4216,
Count,36.9,7069,1,7069,
Count,37,5573,1,5573,
Count,37.1,6910,1,6910,
Count,37.2,4222,1,4222,
Count,37.3,5628,1,5628,
Count,37.4,5682,1,5682,
Count,37.5,5591,1,5591,
Count,37.6,8367,1,8367,
Count,37.7,8348,1,8348,
Count,37.8,2725,1,2725,
Count,37.9,4233,1,4233,
Count,38,5554,1,5554,
Count,38.1,7069,1,7069,
Count,38.2,2742,1,2742,
Count,38.3,8412,1,8412,
Count,38.4,2841,1,2841,
Count,38.5,5089,1,5089,
Count,38.6,9590,1,9590,
Count,38.7,5719,1,5719,
Count,38.8,6965,1,6965,
Count,38.9,2724,1,2724,
Count,39,6953,1,6953,
Count,39.1,7012,1,7012,
Count,39.3,5711,1,5711,
Count,39.4,8514,1,8514,
Count,39.5,5553,1,5553,
Count,39.6,5685,1,5685,
Count,39.7,8448,1,8448,
Count,39.8,11100,1,11100,
Count,39.9,5573,1,5573,
Count,40,2818,1,2818,
Count,40.1,6856,1,6856,
Count,40.2,4212,1,4212,
Count,40.3,2858,1,2858,
