L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,30817,1,30817,
Count,2.9,1085,1,1085,
Count,3.7,2229,1,2229,
Count,4.8,1248,1,1248,
Count,5.8,1257,1,1257,
Count,5.9,1274,1,1274,
Count,8.2,1399,1,1399,
Count,11.4,1399,1,1399,
Count,17.5,1280,1,1280,
Count,18.5,1454,1,1454,
Count,18.6,1338,1,1338,
Count,19.9,1376,1,1376,
Count,21,1426,1,1426,
Count,21.2,1397,1,1397,
Count,28.5,1357,1,1357,
Count,28.6,1449,1,1449,
Count,30.4,1430,1,1430,
Count,32,1395,1,1395,
Count,32.8,1353,1,1353,
Count,33.1,1436,1,1436,
Count,33.5,1365,1,1365,
Count,35.3,1319,1,1319,
Count,36.4,1301,1,1301,
Count,36.5,1430,1,1430,
Count,36.9,1376,1,1376,
Count,37.2,1376,1,1376,
Count,37.9,1414,1,1414,
Count,38.2,2817,1,2817,
Count,38.3,4138,1,4138,
Count,38.4,1368,1,1368,
Count,38.5,8537,1,8537,
Count,38.6,11306,1,11306,
Count,38.7,7961,1,7961,
Count,38.8,8102,1,8102,
Count,38.9,7054,1,7054,
Count,39,2810,1,2810,
Count,39.1,8307,1,8307,
Count,39.2,5602,1,5602,
Count,39.3,6994,1,6994,
Count,39.4,5471,1,5471,
Count,39.5,4270,1,4270,
Count,39.6,4187,1,4187,
Count,39.7,8392,1,8392,
Count,39.8,11217,1,11217,
Count,39.9,1426,1,1426,
Count,40,6985,1,6985,
Count,40.1,6920,1,6920,
Count,40.2,5588,1,5588,
Count,40.3,2772,1,2772,
Count,40.4,7021,1,7021,
Count,40.5,5593,1,5593,
Count,40.6,5553,1,5553,
Count,40.7,2769,1,2769,
Count,40.8,6950,1,6950,
Count,40.9,4259,1,4259,
Count,41,11199,1,11199,
Count,41.1,11237,1,11237,
Count,41.2,5536,1,5536,
Count,41.3,4220,1,4220,
Count,41.4,6980,1,6980,
Count,41.5,5611,1,5611,
Count,41.6,1433,1,1433,
Count,41.7,850,1,850,
Count,41.8,4197,1,4197,
Count,41.9,12615,1,12615,
Count,42,5650,1,5650,
Count,42.1,2755,1,2755,
Count,42.2,6952,1,6952,
Count,42.3,5634,1,5634,
Count,42.4,1375,1,1375,
Count,42.5,6919,1,6919,
Count,42.6,4238,1,4238,
Count,42.7,5660,1,5660,
Count,42.8,5595,1,5595,
Count,42.9,2814,1,2814,
Count,43,6897,1,6897,
Count,43.1,5646,1,5646,
Count,43.2,11216,1,11216,
Count,43.3,1368,1,1368,
Count,43.4,6869,1,6869,
Count,43.5,4128,1,4128,
Count,43.6,4214,1,4214,
Count,43.7,4230,1,4230,
Count,43.8,6960,1,6960,
Count,43.9,5546,1,5546,
Count,44,4184,1,4184,
Count,44.1,4232,1,4232,
Count,44.2,8339,1,8339,
Count,44.3,5635,1,5635,
Count,44.4,4181,1,4181,
Count,44.5,4204,1,4204,
Count,44.6,5547,1,5547,
Count,44.7,5603,1,5603,
Count,44.8,8350,1,8350,
Count,44.9,6949,1,6949,
Count,45,15152,1,15152,
Count,45.1,7044,1,7044,
Count,45.2,5601,1,5601,
Count,45.3,8369,1,8369,
Count,45.4,6956,1,6956,
Count,45.5,7037,1,7037,
Count,45.6,2828,1,2828,
Count,45.7,2696,1,2696,
Count,45.8,2793,1,2793,
Count,45.9,6975,1,6975,
Count,46,5541,1,5541,
Count,46.1,4314,1,4314,
Count,46.2,2829,1,2829,
Count,46.3,5520,1,5520,
Count,46.4,4254,1,4254,
Count,46.5,4163,1,4163,
Count,46.6,1330,1,1330,
Count,46.7,5440,1,5440,
Count,46.8,4306,1,4306,
Count,46.9,4162,1,4162,
Count,47,2746,1,2746,
Count,47.1,6938,1,6938,
Count,47.2,6850,1,6850,
Count,47.3,4209,1,4209,
Count,47.4,2866,1,2866,
Count,47.5,6882,1,6882,
Count,47.6,1456,1,1456,
Count,47.7,7059,1,7059,
Count,47.8,4165,1,4165,
Count,47.9,4094,1,4094,
Count,48,5570,1,5570,
Count,48.1,4169,1,4169,
Count,48.2,6974,1,6974,
Count,48.3,9712,1,9712,
Count,48.4,11202,1,11202,
Count,48.5,8204,1,8204,
Count,48.6,2814,1,2814,
Count,48.7,7020,1,7020,
Count,48.8,6830,1,6830,
Count,48.9,6847,1,6847,
Count,49,4153,1,4153,
Count,49.1,8327,1,8327,
Count,49.2,7049,1,7049,
Count,49.3,5577,1,5577,
Count,49.4,1361,1,1361,
Count,49.5,2793,1,2793,
Count,49.6,1393,1,1393,
Count,49.7,1448,1,1448,
Count,49.8,1321,1,1321,
Count,49.9,2784,1,2784,
Count,50,1369,1,1369,
